siret,nom,ville,code_postal,activite,effectif
31659169200017,ETABLISSEMENTS LENGRAND,,,,
31662075600056,CONEGAN,,,,
31667398700038,CAILLES ROBIN,,,,
31701932100031,POTTIER,,,,
31509512500011,DARDEAU,,,,
31509512500029,DARDEAU,,,,
31524982100077,HAVEA COMMERCIAL SERVICES,,,,
31556571300031,ETS BARRE,,,,
31723806100152,BOUCHERS SERVICES,,,,
31723806100160,BOUCHERS SERVICES,,,,
31723806100178,BOUCHERS SERVICES,,,,
31723806100269,BOUCHERS SERVICES,,,,
31730249500039,LEBON,,,,
31734202000045,AIME PERE ET FILS SA,,,,
31752533500012,LABATUT,,,,
31758690700105,CARGILL HAUBOURDIN SAS,,,,
31770705700053,SOBEVAL,,,,
31774773100048,PRODIA,,,,
31778523600082,HENRY BLANC,,,,
31780423500065,UEBERSCHLAG,,,,
31687416300017,FOUQUET,,,,
31636685500047,[ND],,,,
31422092200053,DERODE,,,,
31399878300036,CHOCOLATERIE PELEN - AU PRINCE D'OR ANGE,,,,
31399878300044,CHOCOLATERIE PELEN - AU PRINCE D'OR ANGE,,,,
31411759900097,ATTAL,,,,
31263725900036,[ND],,,,
31855788100071,SELECTION VIANDES,,,,
33235132900047,PHAN,,,,
33235831600088,PROMONT,,,,
33786853300023,ROBIN,,,,
33290280800010,ROLLAND,,,,
33384533700018,CHRISTIAN POTIER S.A,,,,
33387055800017,SOCIETE D'EXPLOITATION DE GLACE ARTISANALE,,,,
33387055800066,SOCIETE D'EXPLOITATION DE GLACE ARTISANALE,,,,
33841986400081,PARDESSUS,,,,
33849855300035,FERMELY,,,,
33855375300058,ETS DESTRUELS-BOUYGUES,,,,
33855375300074,ETS DESTRUELS-BOUYGUES,,,,
33856575700022,PIERRE,,,,
33864551800097,CHENAIS,,,,
33866196000025,LE MOULIN DU COUVENT,,,,
33867088800027,VILLECROSE,,,,
33891185200014,DESPLATS,,,,
33899861000012,SEGUIER,,,,
33918952400012,LABORATOIRE TOPNIVO-FRANCE,,,,
33923729900013,SCDF BARTHE CHANTAL ET PASCAL,,,,
33924692800032,GREVILLOT,,,,
33798679800037,NUTRISET,,,,
33800470800024,IVARS,,,,
33803107300020,GENTIL,,,,
33809871800046,PARI GOURMET,,,,
33812169200010,HYT ET FILS,,,,
33815256400021,BOURBON BISCOTTES,,,,
33817288500042,FIPSO INDUSTRIE,,,,
33819467300012,DESALLE,,,,
33829583500023,SAULNIER,,,,
33438115900030,CONFISERIE DU NORD,,,,
33442673100041,ETS CLEMENS SARL,,,,
33445654800026,SNRA SOC NORMAND RECHER ANIMAL,,,,
33449078600012,BECARD,,,,
33454406100024,TESSIER,,,,
33467761400011,SENESAEL,,,,
33471902800030,DIETETIQUE ANIMALE APPLIC ZOOTECHNIQUES,,,,
33390512300019,SPECIALITES BAIE DE SOMME,,,,
33402892500017,LOU GOUSTETTO,,,,
33424224500010,VANTHOUROUT,,,,
33425873800023,ETS BROISSON CHOCOLATERIE DU VAL D'ORNEL,,,,
33490087500017,MCCORMICK & CIE INCORPORATED,,,,
33494983100047,SABATIER,,,,
33494983100054,SABATIER,,,,
33509709300025,LARGE,,,,
33521606500037,MAGNE,,,,
33770333400025,BOCAGE RESTAURATION,,,,
33778672700038,CORNOU,,,,
33778672700012,CORNOU,,,,
33333277300048,CALLAIS,,,,
33431548800059,GALLIANCE NUEIL,,,,
33481803600017,DE TERRE BLANCHE,,,,
33476834800016,SOCIETE D'EXPLOITATION DE L'ABATTOIR MUNICIPAL D'AMBERT,,,,
33934164600042,ALPES FRAIS PRODUCTION,,,,
33934164600067,ALPES FRAIS PRODUCTION,,,,
34167039600025,SOFRAGRAIN,,,,
34042280700016,S.E.B.O.Y.,,,,
34055884000070,SAVANE BROSSARD,,,,
34062822100012,MALFLEURY,,,,
34066456400143,DOUX FRAIS,,,,
34009850800013,CUPER,,,,
33967821100030,BHARLEV INDUSTRIES,,,,
33972801600066,NOLASQ,,,,
33977401000013,EURL CHATEAU DE CLAU,,,,
34092953800015,RENE NARDONE,,,,
34094619300018,BRIAND,,,,
34220836000020,TRAN,,,,
34222978800035,MARTINOT,,,,
34230107400023,ETABLISSEMENT BOYER,,,,
34230247800033,JEANPIERRE,,,,
34240196500039,WILLIAM SAURIN,,,,
34253526700021,DESROZIERS,,,,
33948294500021,ANTARTIC II,,,,
34177504700010,SARL BASSE COUR DE LEMBRUN,,,,
34177654000047,FALQUES,,,,
34178357900012,EURODYNAM,,,,
34190012400031,VALEYRE SAS,,,,
34213215600049,JC MENARD CHOCOLATERIE,,,,
34213215600221,JC MENARD CHOCOLATERIE,,,,
34213215600387,JC MENARD CHOCOLATERIE,,,,
33831420600024,BOYAUDERIE DES SAVOIE ETABLISSEMENTS SEMILLE,,,,
33990009400022,HARDOUIN,,,,
34071205800023,LA RAVIOLE DU DAUPHIN,,,,
34071897200029,ARDELIS,,,,
33338503700010,PROMAREE SURGEL,,,,
33359371300048,ROYAL VIANDES,,,,
33365049700022,HERMAN,,,,
33365842500033,SARL RASCOL ANDRE ET FILS,,,,
33367538700026,GRIFFITH LABORATORIES B.V.,,,,
33140698300030,PROMOCOOK SA,,,,
33140698300048,PROMOCOOK SA,,,,
33205925200012,TSANG KWONG U,,,,
33210743200038,ETS PRUVOST LEROY,,,,
33216579400055,PASCAL,,,,
33221156400064,PORT DE PECHE,,,,
33252384400048,SOCIETE FRANCK,,,,
33252390100012,SARL CONFISERIE D ENTRECASTEAUX,,,,
33267803600036,BEHEMS,,,,
33164618200013,SETALG,,,,
33175165100026,CAMUS,,,,
33292055200046,DES LIS CHOCOLAT,,,,
33312554000042,[ND],,,,
33320757900025,NOEL,,,,
33321690100020,LANG,,,,
33324347500055,O SORBET D'AMOUR,,,,
33328126900030,CHAUCHARD,,,,
33330827800048,CHOCOLATERIE DE BEUSSENT LACHELLE,,,,
33330827800287,CHOCOLATERIE DE BEUSSENT LACHELLE,,,,
33330827800303,CHOCOLATERIE DE BEUSSENT LACHELLE,,,,
33330827800071,CHOCOLATERIE DE BEUSSENT LACHELLE,,,,
33330827800139,CHOCOLATERIE DE BEUSSENT LACHELLE,,,,
33330827800295,CHOCOLATERIE DE BEUSSENT LACHELLE,,,,
33056586200019,LES VOLAILLES DE PENALAN,,,,
33075987900019,WALKOWIAK,,,,
33082723900022,CHEZ MONIA,,,,
33216579400048,PASCAL,,,,
33219913200017,COMPAGNIE D'ABATTAGE DE BOURG,,,,
33225917500021,BRUNET,,,,
33229516100019,GRILLON,,,,
33233468900053,SARL LENFANT JEAN JACQUES,,,,
32632308600024,BERNARD,,,,
32634630100046,SOVIBER SOC VIANDES BERNARD,,,,
32638097900012,BABIN,,,,
32644477500034,HOUDIN,,,,
32957695300049,MONTARON,,,,
32958137500022,NEXIRA  HEALTH,,,,
32958137500048,NEXIRA  HEALTH,,,,
32961663500036,BALMASSIERE,,,,
32988552900027,[ND],,,,
32764134600025,TRADIVAL,,,,
32775663100013,SOC TUELACAU SOC EXPL ABATTOIR,,,,
32789881300024,TIRODE,,,,
32791797700024,L'HERMITAIL SARL,,,,
32794418700027,LES VOLAILLES DE SAINT MARS,,,,
32799927200013,PRISMA,,,,
32799927200039,PRISMA,,,,
32802437700025,BERNACHON SAS,,,,
32916001400034,TAVERNIER,,,,
32922047900060,ENJOLRAS FRERES SARL,,,,
32922047900078,ENJOLRAS FRERES SARL,,,,
32925950100016,CHARDONNAL,,,,
32926634000010,MICHEL FAVRE ET FILS,,,,
32942943500046,ZARZOSO,,,,
32943471600117,LONCLAS,,,,
32860197600017,L'OISEAU D'OR,,,,
32881858800019,ARNAUD,,,,
32884346100075,[ND],,,,
32884346100059,[ND],,,,
32891797600032,FUMOIRS DE L OCEAN,,,,
32893645500026,LAHORE-CARRATE,,,,
32901020100039,ROLAND MONTERRAT,,,,
32902332900017,CHOCOLATERIE FASANDIER,,,,
32919080500039,PEGUERO,,,,
32933552500021,ZAPELLI,,,,
32889911700019,MOULINS DELSALLE,,,,
32899752300019,ETABLISSEMENTS MALOISEL,,,,
32900346100020,BERTHON,,,,
33001985200020,THERSEN,,,,
33008787500036,JOCTEUR-MONROZIER,,,,
33010988500013,SA D'ECONOMIE MIXTE DE PRODUCTION SUCRIERE ET RHUMIERE DE LA MARTINIQUE,,,,
33016546500023,MASCLAUX,,,,
32814635200047,POUSSANGE,,,,
32414159700025,JACQUES PELLERIN SA,,,,
34278063200010,MASSON,,,,
34295637200029,BASSET,,,,
34299705300018,NEPTUNE GASTRONOMIE,,,,
34302298400011,GIMONT ABATTAGES,,,,
34305961400036,TRAON,,,,
34459235700059,GALLIANCE INDUSTRIE SEVRIENNE,,,,
34480428100022,BIALA,,,,
34487807900013,SA PROGRE,,,,
34488170100033,REMY,,,,
34492145700026,NOCUS,,,,
34492870000048,[ND],,,,
34313187600025,BORDAS,,,,
34319800800066,PET FOOD PLUS,,,,
34323402700047,ELVIA,,,,
34327683800012,NGO,,,,
34327906300022,LA BISCUITERIE DE KERLANN,,,,
34339778200024,ESPRI RESTAURATION,,,,
34341045200019,OVISTE,,,,
34379113300022,SARL BEGARDS,,,,
34382378700019,NGUYEN,,,,
34392270400097,BISCUITS POULT,,,,
34392270400089,BISCUITS POULT,,,,
34503894700023,FABOVI,,,,
34510790800039,CAMPMAJO,,,,
34523871100013,CAFES GURTNER,,,,
34530183200027,FLEURET,,,,
34406892900027,BENNE,,,,
34406892900019,BENNE,,,,
34408350600081,ARFI,,,,
34424296100029,COLINE,,,,
34446810300025,AU RUCHER DE PROVENCE,,,,
34199840900013,LA BONBONNIERE,,,,
34215277400036,SOCIETE DE FABRICATION DES PRODUITS ALIMENTAIRES,,,,
34261102700018,SAVEL INDUSTRIES,,,,
34183531200024,MAISON TINO,,,,
32585519500021,MOUNIAPIN,,,,
32598906900019,CAHUZAC,,,,
31915058700016,LA GOURMANDIERE,,,,
32711375900028,PLAISIRS GOURMANDS,,,,
32712696700071,ALP' VIANDES SN,,,,
32717625100012,LEGENDRE,,,,
32728036800199,MARIE,,,,
32728036800108,MARIE,,,,
32728036800124,MARIE,,,,
32728036800181,MARIE,,,,
32728858500034,[ND],,,,
32731132000029,LES VIANDES BARBIZONNAISES,,,,
32737649700043,GEL MOOR,,,,
32737347800012,NATRA SAINT ETIENNE,,,,
32752917800011,PALMI D'OR BOURGOGNE,,,,
32494691200023,[ND],,,,
32497284300050,LORIAL,,,,
32528883500011,MORVANY,,,,
32538130900021,SOCIETE DES VIANDES DU PORHOET,,,,
32446883400019,PRATIC CAFE BONKA,,,,
32451055100025,SOCIETE D EXPLOITATION DES ETABLISSEMENTS MILLECAMPS,,,,
32473622200047,CRUZ,,,,
32660047500023,GUICHARD,,,,
32660593800033,PIC A GLACE,,,,
32665354000053,NOMINE,,,,
32672865600140,ARCADIE CENTRE EST,,,,
32682699700057,PEDATELLA,,,,
32692181400090,NUTRIBIO,,,,
32700650800011,HUET,,,,
32548038200119,CAFES MERLING CHR,,,,
32394504800011,SNED,,,,
32429473500265,SAS ANDRIEU,,,,
32429473500349,SAS ANDRIEU,,,,
32429473500117,SAS ANDRIEU,,,,
32216565500034,JOUNEAU,,,,
32343802800033,SA LA TOQUE ANGEVINE,,,,
32313019500015,GOUGET,,,,
32333705500012,LE PERE CRAQUANT,,,,
32284069500033,TAVERNIER,,,,
31980597400023,SAS FRIAL,,,,
31955376400048,ASSIRELLI,,,,
34939523600020,WARIE,,,,
34950140300019,R NOUET ET FILS,,,,
34954336300015,BISCUITERIE FINE DE FRANCE,,,,
34954336300023,BISCUITERIE FINE DE FRANCE,,,,
34958232000017,FERME DE LA PERDRIERE,,,,
34982116500025,COISNE,,,,
34806595400011,VIVONNE VIANDES,,,,
34819855700020,FRAISNOR,,,,
34849940100027,BATAILLE,,,,
34868025700030,VIANDES DE L'OISE,,,,
34879131000058,GAHENAT,,,,
34892019000017,CASH ITALIA EXPRESS PASTIFICIO,,,,
34906904700042,SOCIETE INDUSTRIELLE LESAFFRE,,,,
34906904700083,SOCIETE INDUSTRIELLE LESAFFRE,,,,
34907780000028,[ND],,,,
34928292100023,SUD OUEST MIN,,,,
34932279200020,ROUSSEL,,,,
34745168400042,DELMOND FOIES GRAS,,,,
34764609300018,PAMPLUS CARAIBE,,,,
34770230000034,MOREL,,,,
34777174300031,TUPINIER,,,,
34779301000047,LE FUMET DES DOMBES SAS,,,,
34779813400024,SOCIETE NOUVELLE ASIA FOOD,,,,
34741355100016,AGGLOCENTRE,,,,
34447746800054,ELIVIA,,,,
34447746800088,ELIVIA,,,,
34447746800153,ELIVIA,,,,
34451350200015,SOULEZ,,,,
34756751300028,LEDUN PECHEURS D ISLANDE,,,,
34756751300085,LEDUN PECHEURS D ISLANDE,,,,
34756751300093,LEDUN PECHEURS D ISLANDE,,,,
34888319000087,GAD SAS,,,,
34790258700067,LABEYRIE,,,,
34792201500016,ALPIFEED SARL GROS,,,,
34831657100036,LES CHOCOLATERIES DU CAMBRESIS -CREATION DE CHOCOLATS EUROPEENS C.C.E,,,,
34501603400018,SARL HERMETZ FRERES,,,,
34932438400016,BOURRINET,,,,
34959635300012,FRANS DELVA,,,,
35159541800119,SAINT LOUIS SUCRE SNC,,,,
35172220200014,DANISH CROWN DIVISION PORC,,,,
38306423500021,ST MICHEL GROBOST,,,,
38315400200042,ANTILLES PROCESSING,,,,
38319892600032,LABORATOIRES ROBERT SCHWARTZ,,,,
38332052000026,ABATTOIR CONDITIONNEMENT LAPINS VENDEE,,,,
38338918600024,DENAUX,,,,
38340132000031,LABORATOIRE LORICA,,,,
38340132000049,LABORATOIRE LORICA,,,,
38341491900027,LA PIZZA DE MANOSQUE,,,,
37958187900036,CORDON,,,,
37959159700024,AQUALANDE,,,,
37959343700013,SAUMONERIE SAINT FERREOL,,,,
37970374700046,EUROVANILLE,,,,
37991527500018,JEANBLANC,,,,
37991719800010,INTERNATIONAL FOOD AND TRADING,,,,
37863603900018,GUADEL UNITE TRANSFO AGRO ALIMENTAIRE,,,,
37878500000027,COLLAUD,,,,
35190675500019,MAZI,,,,
35190675500027,MAZI,,,,
38062765300062,LABORATOIRE DEVA,,,,
38395390800027,SAMOUSSAS TAILOU,,,,
38395959000035,MIREBEAU OVOPRODUITS S.A.M.O.,,,,
38398687400121,COOPERL ARC ATLANTIQUE,,,,
38427334800019,CAFES CANTON,,,,
38261641500065,LA NORMANDISE,,,,
38279332100037,VABRET ALAIN ET MONIQUE,,,,
38279920300064,WONG,,,,
38285683900016,STRAPHARM,,,,
38295586200018,MEO-FICHAUX,,,,
38300030400022,C.M.F,,,,
38358462000025,ALMA GASTRONOMIE,,,,
38358462000033,ALMA GASTRONOMIE,,,,
38384718300019,ERDEVEN,,,,
38386849400022,[ND],,,,
38221907900037,FLORENSUC,,,,
38223621400195,TELLUS,,,,
